기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020	용산구	서빙고동	380	209	171	158	83	75	37	21	16	37	22	15	64	36	28	3	0	3	31	15	16	10	10	0	6	2	4	21	12	9	3	2	1	1	1	0	1	1	0	0	0	0	5	3	2	3	1	2
2020	용산구	보광동	594	325	269	264	136	128	46	22	24	88	52	36	74	37	37	4	3	1	30	18	12	2	2	0	23	12	11	36	21	15	2	2	0	5	4	1	10	9	1	1	1	0	9	6	3	0	0	0
2020	용산구	청파동	828	475	353	359	201	158	82	49	33	109	68	41	120	54	66	5	4	1	62	38	24	9	9	0	36	22	14	35	22	13	0	0	0	2	2	0	5	3	2	1	1	0	2	2	0	1	0	1
2020	용산구	원효로1동	471	268	203	197	106	91	49	32	17	61	36	25	64	38	26	8	4	4	29	18	11	12	8	4	15	4	11	20	10	10	1	1	0	4	3	1	5	5	0	0	0	0	6	3	3	0	0	0
2020	용산구	한강로동	525	322	203	246	149	97	49	27	22	70	47	23	72	45	27	4	2	2	25	15	10	12	11	1	17	8	9	20	13	7	2	1	1	1	1	0	3	1	2	0	0	0	3	2	1	1	0	1
2020	용산구	한남동	622	349	273	301	163	138	62	38	24	70	46	24	78	39	39	5	2	3	36	25	11	6	5	1	17	9	8	29	15	14	1	1	0	3	2	1	8	3	5	1	0	1	4	1	3	1	0	1
2020	성동구	소계	11,412	6,564	4,848	5,212	2,899	2,313	1,178	724	454	1,171	675	496	1,625	870	755	106	77	29	700	436	264	180	153	27	423	225	198	475	281	194	35	23	12	86	65	21	79	53	26	12	8	4	88	50	38	42	25	17
2020	성동구	왕십리2동	663	355	308	288	137	151	67	41	26	64	37	27	100	55	45	14	11	3	40	22	18	17	15	2	17	7	10	31	13	18	3	2	1	9	6	3	3	3	0	2	1	1	5	4	1	3	1	2
2020	성동구	마장동	1,071	640	431	523	305	218	104	66	38	98	62	36	138	75	63	8	6	2	71	43	28	27	25	2	40	19	21	37	21	16	3	3	0	0	0	0	7	6	1	3	2	1	6	3	3	6	4	2
2020	성동구	사근동	383	200	183	200	98	102	41	25	16	36	27	9	45	16	29	6	6	0	17	7	10	2	1	1	11	4	7	16	11	5	0	0	0	3	3	0	3	1	2	0	0	0	2	0	2	1	1	0
2020	성동구	행당1동	517	297	220	225	118	107	52	33	19	50	28	22	88	50	38	3	1	2	25	17	8	10	10	0	11	3	8	29	20	9	2	2	0	9	7	2	6	4	2	1	1	0	5	2	3	1	1	0
2020	성동구	행당2동	906	508	398	395	210	185	95	64	31	102	48	54	125	68	57	14	10	4	51	32	19	13	10	3	37	16	21	39	25	14	7	5	2	9	8	1	5	2	3	1	1	0	7	6	1	6	3	3
2020	성동구	응봉동	546	300	246	225	114	111	57	33	24	60	31	29	101	50	51	7	5	2	32	24	8	10	9	1	16	9	7	23	15	8	2	0	2	4	4	0	2	1	1	0	0	0	6	4	2	1	1	0
2020	성동구	금호1가동	670	368	302	305	164	141	80	47	33	73	41	32	83	41	42	3	1	2	44	27	17	5	4	1	23	12	11	31	18	13	3	3	0	5	2	3	4	3	1	0	0	0	9	4	5	2	1	1
2020	성동구	금호4가동	529	304	225	232	121	111	58	37	21	55	33	22	76	41	35	5	3	2	34	24	10	11	11	0	19	8	11	24	18	6	3	1	2	5	3	2	1	0	1	2	1	1	0	0	0	4	3	1
2020	성동구	성수1가1동	585	346	239	256	156	100	54	33	21	70	41	29	89	44	45	3	3	0	41	28	13	6	5	1	19	13	6	26	13	13	3	1	2	7	4	3	6	4	2	0	0	0	2	1	1	3	0	3
2020	성동구	성수1가2동	487	269	218	231	133	98	48	24	24	41	25	16	79	41	38	5	2	3	29	16	13	5	2	3	13	6	7	20	9	11	0	0	0	4	3	1	3	3	0	0	0	0	9	5	4	0	0	0
2020	성동구	성수2가1동	807	499	308	401	255	146	64	42	22	75	46	29	114	55	59	5	3	2	50	36	14	12	9	3	32	16	16	28	14	14	2	2	0	5	5	0	8	7	1	1	1	0	9	8	1	1	0	1
2020	성동구	성수2가3동	426	264	162	189	110	79	44	34	10	49	32	17	57	30	27	8	5	3	30	17	13	10	10	0	11	7	4	16	11	5	2	1	1	3	3	0	4	3	1	0	0	0	3	1	2	0	0	0
2020	성동구	송정동	522	311	211	241	137	104	50	30	20	53	30	23	70	48	22	2	2	0	40	23	17	7	6	1	18	8	10	28	20	8	1	0	1	4	4	0	2	1	1	0	0	0	3	1	2	3	1	2
2020	성동구	용답동	647	419	228	296	179	117	63	40	23	65	43	22	84	55	29	5	4	1	33	23	10	4	3	1	55	46	9	26	13	13	1	1	0	3	2	1	5	4	1	0	0	0	5	4	1	2	2	0
2020	성동구	왕십리도선동	992	573	419	422	232	190	127	76	51	120	73	47	136	78	58	11	9	2	66	39	27	18	15	3	43	20	23	29	18	11	2	1	1	4	4	0	3	2	1	1	0	1	5	2	3	5	4	1
2020	성동구	금호2.3가동	939	512	427	463	243	220	90	54	36	84	39	45	137	76	61	3	2	1	58	37	21	9	7	2	27	14	13	40	26	14	0	0	0	8	6	2	10	4	6	1	1	0	7	2	5	2	1	1
2020	성동구	옥수동	722	399	323	320	187	133	84	45	39	76	39	37	103	47	56	4	4	0	39	21	18	14	11	3	31	17	14	32	16	16	1	1	0	4	1	3	7	5	2	0	0	0	5	3	2	2	2	0
